55+23 = ? , 78 
What is The capital of the UAE ? , AbuDhabi 
What color is the sky ?, Blue
How many days are in a week ?,7 
What is The capital of France ? ,Paris
66-32 ? , 34 
How many letters are in the English alphabet?,26
What is 55 / 11 ? , 5 
Which month has 28 days?,February
What is the unit of the current? , Ampere 
What is the opposite of Cold?, Hot 
What is the boiling point of water in Celsius?, 100 
What is the square root of 16?, 4 
What is the next number after 99? , 100 
What is 15 % 4 ?, 3 
